Role	KSA ID	Knowledge
SP-RSK-001	K0168	Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures.
SP-RSK-001	K0169	Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures.
SP-RSK-001	K0170	Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-RSK-001	K0179	Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).
SP-RSK-001	K0199	Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA]).
SP-RSK-001	K0203	Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).
SP-RSK-001	K0260	Knowledge of Personally Identifiable Information (PII) data security standards.
SP-RSK-001	K0261	Knowledge of Payment Card Industry (PCI) data security standards.
SP-RSK-001	K0262	Knowledge of Personal Health Information (PHI) data security standards.
SP-RSK-001	K0267	Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures.
SP-RSK-001	K0295	Knowledge of confidentiality, integrity, and availability principles.
SP-RSK-001	K0322	Knowledge of embedded systems.
SP-RSK-001	K0342	Knowledge of penetration testing principles, tools, and techniques.
SP-RSK-001	K0622	Knowledge of controls related to the use, processing, storage, and transmission of data.
SP-RSK-001	K0624	Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list)
SP-RSK-001	S0034	Skill in discerning the protection needs (i.e., security controls) of information systems and networks.
SP-RSK-001	S0367	Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-RSK-001	A0028	Ability to assess and forecast manpower requirements to meet organizational objectives.
SP-RSK-001	A0033	Ability to develop policy, plans, and strategy in compliance with laws, regulations, policies, and standards in support of organizational cyber activities.
SP-RSK-001	A0077	Ability to coordinate cyber operations with other organization functions or support activities.
SP-RSK-001	A0090	Ability to identify external partners with common cyber operations interests.
SP-RSK-001	A0094	Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives.
SP-RSK-001	A0111	Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives.
SP-RSK-001	A0117	Ability to relate strategy, business, and technology in the context of organizational dynamics.
SP-RSK-001	A0118	Ability to understand technology, management, and leadership issues related to organization processes and problem solving.
SP-RSK-001	A0119	Ability to understand the basic concepts and issues related to cyber and its organizational impact.
SP-RSK-001	A0123	Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-RSK-001	A0170	Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-RSK-002	K0001	Knowledge of computer networking concepts and protocols, and network security methodologies.
SP-RSK-002	K0002	Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
SP-RSK-002	K0003	Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.
SP-RSK-002	K0004	Knowledge of cybersecurity and privacy principles.
SP-RSK-002	K0005	Knowledge of cyber threats and vulnerabilities.
SP-RSK-002	K0006	Knowledge of specific operational impacts of cybersecurity lapses.
SP-RSK-002	K0007	Knowledge of authentication, authorization, and access control methods.
SP-RSK-002	K0008	Knowledge of applicable business processes and operations of customer organizations.
SP-RSK-002	K0009	Knowledge of application vulnerabilities.
SP-RSK-002	K0010	Knowledge of communication methods, principles, and concepts that support the network infrastructure.
SP-RSK-002	K0011	Knowledge of capabilities and applications of network equipment including routers, switches, bridges, servers, transmission media, and related hardware.
SP-RSK-002	K0013	Knowledge of cyber defense and vulnerability assessment tools and their capabilities.
SP-RSK-002	K0018	Knowledge of encryption algorithms
SP-RSK-002	K0019	Knowledge of cryptography and cryptographic key management concepts
SP-RSK-002	K0018	Knowledge of encryption algorithms
SP-RSK-002	K0021	Knowledge of data backup and recovery.
SP-RSK-002	K0024	Knowledge of database systems.
SP-RSK-002	K0026	Knowledge of business continuity and disaster recovery continuity of operations plans.
SP-RSK-002	K0027	Knowledge of organization's enterprise information security architecture.
SP-RSK-002	K0028	Knowledge of organization's evaluation and validation requirements.
SP-RSK-002	K0029	Knowledge of organization's Local and Wide Area Network connections.
SP-RSK-002	K0037	Knowledge of Security Assessment and Authorization process.
SP-RSK-002	K0038	Knowledge of cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data.
SP-RSK-002	K0040	Knowledge of vulnerability information dissemination sources (e.g., alerts, advisories, errata, and bulletins).
SP-RSK-002	K0044	Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-RSK-002	K0048	Knowledge of Risk Management Framework (RMF) requirements.
SP-RSK-002	K0049	Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption).
SP-RSK-002	K0054	Knowledge of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures utilizing standards-based concepts and capabilities.
SP-RSK-002	K0056	Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML).
SP-RSK-002	K0059	Knowledge of new and emerging information technology (IT) and cybersecurity technologies.
SP-RSK-002	K0070	Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code).
SP-RSK-002	K0084	Knowledge of structured analysis principles and methods.
SP-RSK-002	K0089	Knowledge of systems diagnostic tools and fault identification techniques.
SP-RSK-002	K0098	Knowledge of the cyber defense Service Provider reporting structure and processes within one’s own organization.
SP-RSK-002	K0100	Knowledge of the enterprise information technology (IT) architecture.
SP-RSK-002	K0101	Knowledge of the organization’s enterprise information technology (IT) goals and objectives.
SP-RSK-002	K0126	Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
SP-RSK-002	K0146	Knowledge of the organization's core business/mission processes.
SP-RSK-002	K0168	Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures.
SP-RSK-002	K0169	Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures.
SP-RSK-002	K0170	Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-RSK-002	K0179	Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).
SP-RSK-002	K0199	Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA]).
SP-RSK-002	K0203	Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).
SP-RSK-002	K0260	Knowledge of Personally Identifiable Information (PII) data security standards.
SP-RSK-002	K0261	Knowledge of Payment Card Industry (PCI) data security standards.
SP-RSK-002	K0262	Knowledge of Personal Health Information (PHI) data security standards.
SP-RSK-002	K0267	Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures.
SP-RSK-002	K0287	Knowledge of an organization's information classification program and procedures for information compromise.
SP-RSK-002	K0322	Knowledge of embedded systems.
SP-RSK-002	K0342	Knowledge of penetration testing principles, tools, and techniques.
SP-RSK-002	K0622	Knowledge of controls related to the use, processing, storage, and transmission of data.
SP-RSK-002	K0624	Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list)
SP-RSK-002	S0001	Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.
SP-RSK-002	S0006	Skill in applying confidentiality, integrity, and availability principles.
SP-RSK-002	S0027	Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.
SP-RSK-002	S0034	Skill in discerning the protection needs (i.e., security controls) of information systems and networks.
SP-RSK-002	S0038	Skill in identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.
SP-RSK-002	S0073	Skill in using virtual machines. (e.g., Microsoft Hyper-V, VMWare vSphere, Citrix XenDesktop/Server, Amazon Elastic Compute Cloud, etc.).
SP-RSK-002	S0078	Skill in recognizing and categorizing types of vulnerabilities and associated attacks.
SP-RSK-002	S0097	Skill in applying security controls.
SP-RSK-002	S0100	Skill in utilizing or developing learning activities (e.g., scenarios, instructional games, interactive exercises).
SP-RSK-002	S0110	Skill in identifying Test & Evaluation infrastructure (people, ranges, tools, instrumentation) requirements.
SP-RSK-002	S0111	Skill in interfacing with customers.
SP-RSK-002	S0112	Skill in managing test assets, test resources, and test personnel to ensure effective completion of test events.
SP-RSK-002	S0115	Skill in preparing Test & Evaluation reports.
SP-RSK-002	S0120	Skill in reviewing logs to identify evidence of past intrusions.
SP-RSK-002	S0124	Skill in troubleshooting and diagnosing cyber defense infrastructure anomalies and work through resolution.
SP-RSK-002	S0128	Skill in using manpower and personnel IT systems.
SP-RSK-002	S0134	Skill in conducting reviews of systems.
SP-RSK-002	S0135	Skill in secure test plan design (e. g. unit, integration, system, acceptance).
SP-RSK-002	S0136	Skill in network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.
SP-RSK-002	S0137	Skill in conducting application vulnerability assessments.
SP-RSK-002	S0138	Skill in using Public-Key Infrastructure (PKI) encryption and digital signature capabilities into applications (e.g., S/MIME email, SSL traffic).
SP-RSK-002	S0141	Skill in assessing security systems designs.
SP-RSK-002	S0145	Skill in integrating and applying policies that meet system security objectives.
SP-RSK-002	S0147	Skill in assessing security controls based on cybersecurity principles and tenets. (e.g., CIS CSC, NIST SP 800-53, Cybersecurity Framework, etc.).
SP-RSK-002	S0171	Skill in performing impact/risk assessments.
SP-RSK-002	S0172	Skill in applying secure coding techniques.
SP-RSK-002	S0173	Skill in using security event correlation tools.
SP-RSK-002	S0174	Skill in using code analysis tools.
SP-RSK-002	S0175	Skill in performing root cause analysis.
SP-RSK-002	S0176	Skill in administrative planning activities, to include preparation of functional and specific support plans, preparing and managing correspondence, and staffing procedures.
SP-RSK-002	S0177	Skill in analyzing a target's communication networks.
SP-RSK-002	S0184	Skill in analyzing traffic to identify network devices.
SP-RSK-002	S0232	Skill in identifying intelligence gaps and limitations.
SP-RSK-002	S0233	Skill in identifying language issues that may have an impact on organization objectives.
SP-RSK-002	S0234	Skill in identifying leads for target development.
SP-RSK-002	S0235	Skill in identifying non-target regional languages and dialects
SP-RSK-002	S0236	Skill in identifying the devices that work at each level of protocol models.
SP-RSK-002	S0237	Skill in identifying, locating, and tracking targets via geospatial analysis techniques
SP-RSK-002	S0238	Skill in information prioritization as it relates to operations.
SP-RSK-002	S0239	Skill in interpreting compiled and interpretive programming languages.
SP-RSK-002	S0240	Skill in interpreting metadata and content as applied by collection systems.
SP-RSK-002	S0241	Skill in interpreting traceroute results, as they apply to network analysis and reconstruction.
SP-RSK-002	S0242	Skill in interpreting vulnerability scanner results to identify vulnerabilities.
SP-RSK-002	S0243	Skill in knowledge management, including technical documentation techniques (e.g., Wiki page).
SP-RSK-002	S0244	Skill in managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results.
SP-RSK-002	S0248	Skill in performing target system analysis.
SP-RSK-002	S0249	Skill in preparing and presenting briefings.
SP-RSK-002	S0250	Skill in preparing plans and related correspondence.
SP-RSK-002	S0251	Skill in prioritizing target language material.
SP-RSK-002	S0252	Skill in processing collected data for follow-on analysis.
SP-RSK-002	S0254	Skill in providing analysis to aid writing phased after action reports.
SP-RSK-002	S0271	Skill in reviewing and editing assessment products.
SP-RSK-002	S0273	Skill in reviewing and editing plans.
SP-RSK-002	S0278	Skill in tailoring analysis to the necessary levels (e.g., classification and organizational).
SP-RSK-002	S0279	Skill in target development in direct support of collection operations.
SP-RSK-002	S0280	Skill in target network anomaly identification (e.g., intrusions, dataflow or processing, target implementation of new technologies).
SP-RSK-002	S0281	Skill in technical writing.
SP-RSK-002	S0296	Skill in utilizing feedback to improve processes, products, and services.
SP-RSK-002	S0304	Skill to access information on current assets available, usage.
SP-RSK-002	S0305	Skill to access the databases where plans/directives/guidance are maintained.
SP-RSK-002	S0306	Skill to analyze strategic guidance for issues requiring clarification and/or additional guidance.
SP-RSK-002	S0307	Skill to analyze target or threat sources of strength and morale.
SP-RSK-002	S0325	Skill to develop a collection plan that clearly shows the discipline that can be used to collect the information needed.
SP-RSK-002	S0329	Skill to evaluate requests for information to determine if response information exists.
SP-RSK-002	S0332	Skill to extract information from available tools and applications associated with collection requirements and collection operations management.
SP-RSK-002	S0367	Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-RSK-002	S0370	Skill to use cyber defense Service Provider reporting structure and processes within one’s own organization.
SP-RSK-002	S0374	Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations.
SP-RSK-002	A0001	Ability to identify systemic security issues based on the analysis of vulnerability and configuration data.
SP-RSK-002	A0011	Ability to answer questions in a clear and concise manner.
SP-RSK-002	A0012	Ability to ask clarifying questions.
SP-RSK-002	A0013	Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means.
SP-RSK-002	A0014	Ability to communicate effectively when writing.
SP-RSK-002	A0015	Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.
SP-RSK-002	A0016	Ability to facilitate small group discussions.
SP-RSK-002	A0018	Ability to prepare and present briefings.
SP-RSK-002	A0019	Ability to produce technical documentation.
SP-RSK-002	A0023	Ability to design valid and reliable assessments.
SP-RSK-002	A0026	Ability to analyze test data.
SP-RSK-002	A0030	Ability to collect, verify, and validate test data.
SP-RSK-002	A0035	Ability to dissect a problem and examine the interrelationships between data that may appear unrelated.
SP-RSK-002	A0036	Ability to identify basic common coding flaws at a high level.
SP-RSK-002	A0040	Ability to translate data and test results into evaluative conclusions.
SP-RSK-002	A0056	Ability to ensure security practices are followed throughout the acquisition process.
SP-RSK-002	A0069	Ability to apply collaborative skills and strategies.
SP-RSK-002	A0070	Ability to apply critical reading/thinking skills.
SP-RSK-002	A0082	Ability to effectively collaborate via virtual teams.
SP-RSK-002	A0083	Ability to evaluate information for reliability, validity, and relevance.
SP-RSK-002	A0084	Ability to evaluate, analyze, and synthesize large quantities of data (which may be fragmented and contradictory) into high quality, fused targeting/intelligence products.
SP-RSK-002	A0085	Ability to exercise judgment when policies are not well-defined.
SP-RSK-002	A0086	Ability to expand network access by conducting target analysis and collection to identify targets of interest.
SP-RSK-002	A0087	Ability to focus research efforts to meet the customer’s decision-making needs.
SP-RSK-002	A0088	Ability to function effectively in a dynamic, fast-paced environment.
SP-RSK-002	A0089	Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise.
SP-RSK-002	A0090	Ability to identify external partners with common cyber operations interests.
SP-RSK-002	A0091	Ability to identify intelligence gaps.
SP-RSK-002	A0092	Ability to identify/describe target vulnerability.
SP-RSK-002	A0093	Ability to identify/describe techniques/methods for conducting technical exploitation of the target.
SP-RSK-002	A0094	Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives.
SP-RSK-002	A0095	Ability to interpret and translate customer requirements into operational action.
SP-RSK-002	A0096	Ability to interpret and understand complex and rapidly evolving concepts.
SP-RSK-002	A0098	Ability to participate as a member of planning teams, coordination groups, and task forces as necessary.
SP-RSK-002	A0101	Ability to recognize and mitigate cognitive biases which may affect analysis.
SP-RSK-002	A0106	Ability to think critically.
SP-RSK-002	A0108	Ability to understand objectives and effects.
SP-RSK-002	A0109	Ability to utilize multiple intelligence sources across all intelligence disciplines.
SP-RSK-002	A0117	Ability to relate strategy, business, and technology in the context of organizational dynamics.
SP-RSK-002	A0118	Ability to understand technology, management, and leadership issues related to organization processes and problem solving.
SP-RSK-002	A0119	Ability to understand the basic concepts and issues related to cyber and its organizational impact.
SP-RSK-002	A0111	Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives.
SP-RSK-002	A0112	Ability to monitor advancements in information privacy technologies to ensure organizational adaptation and compliance.
SP-RSK-002	A0114	Ability to develop or procure curriculum that speaks to the topic at the appropriate level for the target.
SP-RSK-002	A0115	Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives.
SP-RSK-002	A0116	Ability to prioritize and allocate cybersecurity resources correctly and efficiently.
SP-RSK-002	A0119	Ability to understand the basic concepts and issues related to cyber and its organizational impact.
SP-RSK-002	A0123	Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-RSK-002	A0170	Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-DEV-001	K0016	Knowledge of computer programming principles
SP-DEV-001	K0027	Knowledge of organization's enterprise information security architecture.
SP-DEV-001	K0028	Knowledge of organization's evaluation and validation requirements.
SP-DEV-001	K0039	Knowledge of cybersecurity and privacy principles and methods that apply to software development.
SP-DEV-001	K0044	Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-DEV-001	K0050	Knowledge of local area and wide area networking principles and concepts including bandwidth management.
SP-DEV-001	K0051	Knowledge of low-level computer languages (e.g., assembly languages).
SP-DEV-001	K0060	Knowledge of operating systems.
SP-DEV-001	K0066	Knowledge of Privacy Impact Assessments.
SP-DEV-001	K0068	Knowledge of programming language structures and logic.
SP-DEV-001	K0070	Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code).
SP-DEV-001	K0073	Knowledge of secure configuration management techniques. (e.g., Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurity.org).
SP-DEV-001	K0079	Knowledge of software debugging principles.
SP-DEV-001	K0080	Knowledge of software design tools, methods, and techniques.
SP-DEV-001	K0081	Knowledge of software development models (e.g., Waterfall Model, Spiral Model).
SP-DEV-001	K0082	Knowledge of software engineering.
SP-DEV-001	K0084	Knowledge of structured analysis principles and methods.
SP-DEV-001	K0086	Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools.
SP-DEV-001	K0105	Knowledge of web services (e.g., service-oriented architecture, Simple Object Access Protocol, and web service description language).
SP-DEV-001	K0139	Knowledge of interpreted and compiled computer languages.
SP-DEV-001	K0140	Knowledge of secure coding techniques.
SP-DEV-001	K0152	Knowledge of software related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization).
SP-DEV-001	K0153	Knowledge of software quality assurance process.
SP-DEV-001	K0154	Knowledge of supply chain risk management standards, processes, and practices.
SP-DEV-001	K0170	Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-DEV-001	K0179	Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).
SP-DEV-001	K0199	Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA]).
SP-DEV-001	K0202	Knowledge of the application firewall concepts and functions (e.g., Single point of authentication/audit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing).
SP-DEV-001	K0260	Knowledge of Personally Identifiable Information (PII) data security standards.
SP-DEV-001	K0261	Knowledge of Payment Card Industry (PCI) data security standards.
SP-DEV-001	K0262	Knowledge of Personal Health Information (PHI) data security standards.
SP-DEV-001	K0263	Knowledge of information technology (IT) risk management policies, requirements, and procedures.
SP-DEV-001	K0322	Knowledge of embedded systems.
SP-DEV-001	K0332	Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.
SP-DEV-001	K0342	Knowledge of penetration testing principles, tools, and techniques.
SP-DEV-001	K0343	Knowledge of root cause analysis techniques.
SP-DEV-001	K0624	Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list)
SP-DEV-001	S0001	Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.
SP-DEV-001	S0014	Skill in conducting software debugging.
SP-DEV-001	S0017	Skill in creating and utilizing mathematical or statistical models.
SP-DEV-001	S0019	Skill in creating programs that validate and process multiple inputs including command line arguments, environmental variables, and input streams.
SP-DEV-001	S0022	Skill in designing countermeasures to identified security risks.
SP-DEV-001	S0031	Skill in developing and applying security system access controls.
SP-DEV-001	S0034	Skill in discerning the protection needs (i.e., security controls) of information systems and networks.
SP-DEV-001	S0060	Skill in writing code in a currently supported programming language (e.g., Java, C++).
SP-DEV-001	S0135	Skill in secure test plan design (e. g. unit, integration, system, acceptance).
SP-DEV-001	S0138	Skill in using Public-Key Infrastructure (PKI) encryption and digital signature capabilities into applications (e.g., S/MIME email, SSL traffic).
SP-DEV-001	S0149	Skill in developing applications that can log and handle errors, exceptions, and application faults and logging.
SP-DEV-001	S0174	Skill in using code analysis tools.
SP-DEV-001	S0175	Skill in performing root cause analysis.
SP-DEV-001	S0367	Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-DEV-001	A0007	Ability to tailor code analysis for application-specific concerns.
SP-DEV-001	A0021	Ability to use and understand complex mathematical concepts (e.g., discrete math).
SP-DEV-001	A0047	Ability to develop secure software according to secure software deployment methodologies, tools, and practices.
SP-DEV-001	A0123	Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-DEV-001	A0170	Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-DEV-002	K0002	Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
SP-DEV-002	K0003	Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.
SP-DEV-002	K0004	Knowledge of cybersecurity and privacy principles.
SP-DEV-002	K0005	Knowledge of cyber threats and vulnerabilities.
SP-DEV-002	K0006	Knowledge of specific operational impacts of cybersecurity lapses.
SP-DEV-002	K0014	Knowledge of complex data structures.
SP-DEV-002	K0016	Knowledge of computer programming principles
SP-DEV-002	K0027	Knowledge of organization's enterprise information security architecture.
SP-DEV-002	K0028	Knowledge of organization's evaluation and validation requirements.
SP-DEV-002	K0039	Knowledge of cybersecurity and privacy principles and methods that apply to software development.
SP-DEV-002	K0044	Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-DEV-002	K0050	Knowledge of local area and wide area networking principles and concepts including bandwidth management.
SP-DEV-002	K0051	Knowledge of low-level computer languages (e.g., assembly languages).
SP-DEV-002	K0060	Knowledge of operating systems.
SP-DEV-002	K0066	Knowledge of Privacy Impact Assessments.
SP-DEV-002	K0068	Knowledge of programming language structures and logic.
SP-DEV-002	K0070	Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code).
SP-DEV-002	K0073	Knowledge of secure configuration management techniques. (e.g., Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurity.org).
SP-DEV-002	K0079	Knowledge of software debugging principles.
SP-DEV-002	K0080	Knowledge of software design tools, methods, and techniques.
SP-DEV-002	K0081	Knowledge of software development models (e.g., Waterfall Model, Spiral Model).
SP-DEV-002	K0082	Knowledge of software engineering.
SP-DEV-002	K0084	Knowledge of structured analysis principles and methods.
SP-DEV-002	K0086	Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools.
SP-DEV-002	K0105	Knowledge of web services (e.g., service-oriented architecture, Simple Object Access Protocol, and web service description language).
SP-DEV-002	K0139	Knowledge of interpreted and compiled computer languages.
SP-DEV-002	K0140	Knowledge of secure coding techniques.
SP-DEV-002	K0152	Knowledge of software related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization).
SP-DEV-002	K0153	Knowledge of software quality assurance process.
SP-DEV-002	K0154	Knowledge of supply chain risk management standards, processes, and practices.
SP-DEV-002	K0170	Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-DEV-002	K0178	Knowledge of secure software deployment methodologies, tools, and practices.
SP-DEV-002	K0179	Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).
SP-DEV-002	K0199	Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA]).
SP-DEV-002	K0202	Knowledge of the application firewall concepts and functions (e.g., Single point of authentication/audit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing).
SP-DEV-002	K0260	Knowledge of Personally Identifiable Information (PII) data security standards.
SP-DEV-002	K0261	Knowledge of Payment Card Industry (PCI) data security standards.
SP-DEV-002	K0262	Knowledge of Personal Health Information (PHI) data security standards.
SP-DEV-002	K0263	Knowledge of information technology (IT) risk management policies, requirements, and procedures.
SP-DEV-002	K0322	Knowledge of embedded systems.
SP-DEV-002	K0342	Knowledge of penetration testing principles, tools, and techniques.
SP-DEV-002	K0343	Knowledge of root cause analysis techniques.
SP-DEV-002	K0624	Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list)
SP-DEV-002	S0001	Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.
SP-DEV-002	S0022	Skill in designing countermeasures to identified security risks.
SP-DEV-002	S0031	Skill in developing and applying security system access controls.
SP-DEV-002	S0034	Skill in discerning the protection needs (i.e., security controls) of information systems and networks.
SP-DEV-002	S0083	Skill in integrating black box security testing tools into quality assurance process of software releases.
